               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064663,            0.029899,            0.035163,             0.75347,             0.36591,             0.38765,             0.20074,             0.03315,            0.008018,            0.020448,            0.070066,            0.003326,            0.003326
                   1,            0.046846,            0.023758,            0.018128,             0.69788,              0.4372,             0.42942,             0.21862,            0.032233,           0.0076864,            0.015144,            0.040049,           0.0066429,           0.0066429
                   2,            0.044323,            0.022733,            0.016296,             0.55199,             0.50317,             0.51215,             0.29419,             0.02875,           0.0084594,             0.01839,            0.010016,           0.0099432,           0.0099432
                   3,            0.043001,            0.022883,            0.015681,             0.53369,             0.59842,             0.59781,             0.35872,            0.027817,           0.0078254,            0.017073,           0.0099258,           0.0099258,           0.0099258
                   4,            0.040795,            0.023244,            0.014556,             0.59113,             0.62082,             0.60022,             0.33326,             0.02969,           0.0073315,            0.014076,           0.0099258,           0.0099258,           0.0099258
                   5,            0.039212,            0.023193,            0.013149,             0.61994,             0.64041,             0.64006,             0.37756,            0.027731,           0.0075111,             0.01183,            0.009901,            0.009901,            0.009901
                   6,            0.038005,            0.022172,            0.012739,             0.69516,             0.50479,             0.55585,              0.3248,             0.03057,           0.0075319,            0.018565,           0.0098763,           0.0098763,           0.0098763
                   7,            0.036278,            0.021746,            0.011974,             0.59877,             0.66125,             0.68699,             0.43381,            0.026145,           0.0067563,             0.01333,           0.0098515,           0.0098515,           0.0098515
                   8,            0.036234,            0.021874,            0.010963,              0.6655,             0.68302,             0.69557,             0.44404,            0.022687,           0.0066238,            0.012989,           0.0098268,           0.0098268,           0.0098268
                   9,            0.034745,            0.021034,           0.0096915,             0.68034,             0.75712,             0.75063,             0.49166,            0.023128,           0.0062942,            0.013554,            0.009802,            0.009802,            0.009802
                  10,            0.034804,            0.020888,            0.010327,             0.61357,              0.6624,             0.60833,             0.41112,            0.024684,           0.0068712,             0.01426,           0.0097773,           0.0097773,           0.0097773
                  11,            0.032335,            0.020988,            0.010279,             0.68597,             0.70075,             0.74387,             0.46693,            0.025986,           0.0065778,            0.012166,           0.0097525,           0.0097525,           0.0097525
                  12,            0.034619,            0.020709,           0.0093239,              0.6764,             0.73844,             0.72075,             0.46507,            0.023332,           0.0065674,            0.008765,           0.0097278,           0.0097278,           0.0097278
                  13,            0.031923,            0.020137,           0.0086959,             0.63149,             0.57278,             0.60643,             0.40731,            0.030308,           0.0082653,            0.017846,            0.009703,            0.009703,            0.009703
                  14,             0.03176,            0.020611,           0.0096532,             0.73357,             0.75827,             0.79595,             0.54809,            0.022198,           0.0058583,            0.010327,           0.0096783,           0.0096783,           0.0096783
                  15,            0.032126,            0.020148,           0.0086248,             0.81752,             0.66847,             0.75166,             0.51568,            0.021426,            0.006297,            0.012131,           0.0096535,           0.0096535,           0.0096535
                  16,            0.032525,            0.020388,           0.0092936,             0.76405,             0.78159,             0.80736,             0.57277,            0.020385,           0.0059356,           0.0069065,           0.0096288,           0.0096288,           0.0096288
                  17,              0.0321,            0.019933,           0.0091213,             0.73532,             0.74012,             0.77668,             0.55598,            0.021806,           0.0063149,           0.0062328,            0.009604,            0.009604,            0.009604
                  18,             0.03077,            0.019561,           0.0085708,             0.62943,             0.75465,             0.72573,                0.49,            0.021573,           0.0061884,            0.008538,           0.0095793,           0.0095793,           0.0095793
                  19,            0.030604,            0.019492,           0.0083122,             0.81111,             0.73218,             0.77023,             0.54305,            0.020852,           0.0059923,           0.0063343,           0.0095545,           0.0095545,           0.0095545
                  20,            0.029782,            0.019146,           0.0076255,             0.70921,             0.74495,             0.74478,             0.55169,            0.020661,           0.0057676,            0.011162,           0.0095298,           0.0095298,           0.0095298
                  21,            0.030077,            0.019278,           0.0070044,             0.72403,             0.74169,             0.73386,              0.5312,            0.020396,           0.0058084,           0.0071572,            0.009505,            0.009505,            0.009505
                  22,            0.029881,            0.019047,           0.0073864,             0.73982,             0.76509,             0.77803,             0.57522,            0.019589,           0.0059894,           0.0079185,           0.0094803,           0.0094803,           0.0094803
                  23,            0.029951,            0.018553,           0.0067841,             0.76899,             0.75839,             0.81509,             0.58637,            0.020117,           0.0057773,           0.0075264,           0.0094555,           0.0094555,           0.0094555
                  24,            0.030108,            0.019066,           0.0070953,              0.6479,             0.76904,             0.71293,             0.50063,            0.021626,           0.0060083,            0.011635,           0.0094307,           0.0094307,           0.0094307
                  25,            0.029644,            0.018936,           0.0075024,              0.7268,             0.72422,             0.74333,             0.50693,            0.021621,           0.0061707,           0.0061017,            0.009406,            0.009406,            0.009406
                  26,            0.028801,            0.018888,           0.0071527,             0.79715,               0.741,             0.76542,             0.53942,            0.020549,           0.0059822,            0.013104,           0.0093813,           0.0093813,           0.0093813
                  27,            0.029272,            0.019004,           0.0065508,             0.78237,             0.79755,             0.81107,             0.59427,            0.019067,           0.0057566,           0.0082031,           0.0093565,           0.0093565,           0.0093565
                  28,            0.029139,             0.01939,           0.0067952,             0.75348,             0.76166,             0.77992,             0.56497,            0.019072,           0.0057297,            0.011601,           0.0093317,           0.0093317,           0.0093317
                  29,             0.02863,             0.01853,           0.0071001,             0.80539,              0.8406,             0.84129,             0.60268,             0.02034,           0.0057617,            0.008839,            0.009307,            0.009307,            0.009307
                  30,            0.028841,            0.018772,           0.0067325,             0.78321,             0.74357,             0.78218,             0.58459,             0.01911,           0.0057204,            0.011241,           0.0092823,           0.0092823,           0.0092823
                  31,            0.028228,            0.018296,           0.0063192,             0.85915,             0.77033,             0.84708,             0.62229,            0.019078,           0.0056393,           0.0061386,           0.0092575,           0.0092575,           0.0092575
                  32,            0.028054,            0.017972,           0.0059857,             0.72918,             0.76212,             0.76249,             0.56273,            0.019322,           0.0055423,            0.011175,           0.0092327,           0.0092327,           0.0092327
                  33,            0.027989,            0.018055,           0.0063289,             0.77366,             0.74361,             0.79499,             0.58512,            0.019655,           0.0056018,             0.01027,            0.009208,            0.009208,            0.009208
                  34,            0.027447,            0.018313,           0.0063472,             0.79915,             0.79446,             0.84899,             0.63257,            0.019391,           0.0056651,           0.0058754,           0.0091833,           0.0091833,           0.0091833
                  35,            0.028372,            0.018256,           0.0059888,             0.72402,              0.8086,             0.78783,             0.57297,            0.018867,           0.0055178,           0.0088468,           0.0091585,           0.0091585,           0.0091585
